,,,tree
Suiame1,Suillus americanus EM31 v1.0,Soft_pine,"(Suisubl1:0.0124308314,(((((((((Suigr1:0.0174496097,(Suipla1:0.0016830537,Suiplac1:0.0057048010)100/100:0.0115643656)100/100:0.0208046378,(((((Suipal1:0.0153837050,Suioch1:0.0177521734)100/100:0.0336674756,Suiamp1:0.0436914878)100/100:0.0127530173,Rhivi1:0.1211830269)100/100:0.0228681598,(((Suigri1:0.0307407461,Suivis2:0.0074158900)29.8/60:0.0018133986,Suielb1:0.0097488468)100/100:0.0129649980,Suicli1:0.0256070398)100/100:0.0217121889)100/100:0.0099160308,Suilak1:0.0446514893)100/100:0.0131527656)100/100:0.0021856486,((((Suibr2:0.0163333084,((Suilu4:0.0045853773,Suisuba1:0.0052579760)100/100:0.0096916095,(Suiocc1:0.0147524225,Suipse1:0.0176159669)100/100:0.0065879825)100/100:0.0052743752)100/100:0.0097291184,(Suikai2:0.0153057733,Suipun1:0.0091749661)100/100:0.0087073935)100/100:0.0088425688,Suiqui1:0.0275826340)100/100:0.0037424831,Suicol1:0.0404077919)100/100:0.0127999199)100/100:0.0025679152,((((((Suivar1:0.0130239023,((Suihi1:0.0127469353,Suitom1:0.0085160611)100/100:0.0022336906,Suifus1:0.0128552708)99.6/99:0.0010180600)100/100:0.0017455407,Suivari1:0.0100343630)100/100:0.0021280741,Suipunc1:0.0196449375)100/100:0.0016422163,Suiplo1:0.0133856610)100/100:0.0037895538,Suidis1:0.0132741844)100/100:0.0239389736,Suibov1:0.0555806202)100/100:0.0162647862)100/100:0.0027739933,SuiFC429_1:0.0291186250)59.2/69:0.0025496682,(Suipic1:0.0258836062,Suidec1:0.0233243459)100/100:0.0330335725)100/100:0.0063954546,Suicot1:0.0440015656)100/100:0.0039244433,Suisub1:0.0354332643)100/100:0.0047837791,(Suiame1:0.0121836414,Suisib1:0.0120758519)100/100:0.0153416714)100/100:0.0169618995,Suisu1:0.0182790012);"
Suiamp1,Suillus ampliporus FC55 v1.0,Larix,
Suibov1,Suillus bovinus UH-Sbo-P2 v1.0,Hard_pine,
Suibr2,Suillus brevipes Sb2 v2.0,Hard_pine,
Suisib1,Suillus cf. sibiricus RUI384 v1.0,Soft_pine,
Suisubl1,Suillus cf. subluteus FC464 v1.0,Other,
Suivari1,Suillus cf. variegatus FC465 v1.0,Other,
Suicli1,Suillus clintonianus FC179 v1.0,Larix,
Suicol1,Suillus collinitus S28 v1.0,Hard_pine,
Suicot1,Suillus cothurnatus VC 1858 v1.0,Hard_pine,
Suidec1,Suillus decipiens EM49 v1.0,Hard_pine,
Suidis1,Suillus discolor FC423 v1.0,Soft_pine,
Suielb1,Suillus elbensis FC64 v1.0,Larix,
Suifus1,Suillus fuscotomentosus FC203 v1.0,Hard_pine,
Suigri1,Suillus grisellus FC184 v1.0,Larix,
Suihi1,Suillus hirtellus EM16 v1.0,Hard_pine,
Suikai2,Suillus kaibabensis FC96 v2.0,Hard_pine,
Suilak1,Suillus lakei FC43 v1.0,Pseudotsuga,
Suilu4,Suillus luteus UH-Slu-Lm8-n1 v3.0,Hard_pine,
Suiocc1,Suillus occidentalis FC124 v1.0,Hard_pine,
Suioch1,Suillus ochraceoroseus FC498 v1.0,Larix,
Suipal1,Suillus paluster FC165 v1.0,Larix,
Suipla1,Suillus placidus DOB743 v1.0,Soft_pine,
Suiplac1,Suillus placidus S07 v1.0,Soft_pine,
Suiplo1,Suillus plorans S12 v1.0,Soft_pine,
Suipse1,Suillus pseudogranulatus FC45 v1.0,Hard_pine,
Suipunc1,Suillus punctipes FC325 v1.0,Soft_pine,
Suipun1,Suillus pungens FC27 v1.0,Hard_pine,
Suiqui1,Suillus quiescens FC197 v1.0,Hard_pine,
SuiFC429_1,Suillus sp. nov. FC429 v1.0,Soft_pine,
Suipic1,Suillus spraguei EM44 v1.0,Soft_pine,
Suisuba1,Suillus subalutaceus 1-7C v1.0,Hard_pine,
Suisu1,Suillus subalutaceus FC151 v1.0,Hard_pine,
Suisub1,Suillus subaureus MN1 v1.0,Other,
Suitom1,Suillus tomentosus FC115 v1.0,Hard_pine,
Suivar1,Suillus variegatus UH-Sva-Z1 v1.0,Hard_pine,
Suivis2,Suillus viscidus S02 v2.0,Larix,
Suigr1,Suillus weaverae EM37 v1.0,Soft_pine,
Rhivi1,Rhizopogon vinicolor,Pseudotsuga,
